Origin,Destination,Travel Time (hrs)
DCA,BNA,1.2868443339670863
DCA,BOS,0.9166610782872235
DCA,LGA,0.4927840608010986
DCA,EWR,0.45588756699918104
DCA,MCO,1.7483412680992647
DCA,PHL,0.2745197538108296
DCA,PDX,5.389196648918887
DCA,SLC,4.244655285408588
DCA,SJC,5.558050723884724
DCA,SEA,5.339326952528044
DCA,MCI,2.176607652760011
DCA,STL,1.6476541263516185
DCA,YYZ,0.8267022359254558
DCA,YVR,5.425615190431877
IAH,FLL,2.21605544570871
IAH,LAX,3.164774749251059
IAH,LAX,3.164774749251059
IAH,MSP,2.3807423930097764
IAH,YUL,3.6389039120050017
IAH,BNA,1.5099703740668364
IAH,BOS,3.6666389211021206
IAH,LGA,3.251730790554477
IAH,EWR,3.2131653055591185
IAH,MCO,1.9595028690752494
IAH,PHL,3.0412185659652247
IAH,PDX,4.190702745600112
IAH,SLC,2.74566969386263
IAH,SJC,3.690516540878118
IAH,SEA,4.304688273402418
IAH,MCI,1.4806997545649947
IAH,STL,1.5347197453140689
IAH,YYZ,2.9427086376097518
IAH,YVR,4.5269483334256435
FLL,LAX,5.3760896418060575
FLL,LAX,5.3760896418060575
FLL,MSP,3.423292969474579
FLL,YUL,3.186744383022314
FLL,BNA,1.8259817430316891
FLL,BOS,2.8489669948263336
FLL,LGA,2.47758077151075
FLL,EWR,2.4519354689003654
FLL,MCO,0.40863220896577923
FLL,PHL,2.2869895623179217
FLL,PDX,6.1853668000345845
FLL,SLC,4.784597244644306
FLL,SJC,5.869916438883045
FLL,SEA,6.2394773304682065
FLL,MCI,2.856488074719102
FLL,STL,2.430427214230912
FLL,YYZ,2.798201141179676
FLL,YVR,6.413854453305525
LAX,MSP,3.5249280834914614
LAX,YUL,5.674378695796915
LAX,BNA,4.124615640178373
LAX,BOS,5.989685812948327
LAX,LGA,5.664799625474849
LAX,EWR,5.629474740714133
LAX,MCO,5.08912047864397
LAX,PHL,5.509108163859985
LAX,PDX,1.918913339292704
LAX,SLC,1.3563357434389056
LAX,SJC,0.7084104016197574
LAX,SEA,2.195901954433232
LAX,MCI,3.1281951028039865
LAX,STL,3.6532507985658333
LAX,YYZ,4.991907625601386
LAX,YVR,2.4872436982016097
LAX,MSP,3.5249280834914614
LAX,YUL,5.674378695796915
LAX,BNA,4.124615640178373
LAX,BOS,5.989685812948327
LAX,LGA,5.664799625474849
LAX,EWR,5.629474740714133
LAX,MCO,5.08912047864397
LAX,PHL,5.509108163859985
LAX,PDX,1.918913339292704
LAX,SLC,1.3563357434389056
LAX,SJC,0.7084104016197574
LAX,SEA,2.195901954433232
LAX,MCI,3.1281951028039865
LAX,STL,3.6532507985658333
LAX,YYZ,4.991907625601386
LAX,YVR,2.4872436982016097
MSP,YUL,2.1772336746988685
MSP,BNA,1.5986486295322435
MSP,BOS,2.5770535775451244
MSP,LGA,2.340308056308199
MSP,EWR,2.312170862573883
MSP,MCO,3.015132829537901
MSP,PHL,2.2491847291322675
MSP,PDX,3.269108121929241
MSP,SLC,2.2734277578125033
MSP,SJC,3.6142371945418827
MSP,SEA,3.2066232404186947
MSP,MCI,0.9047194979424873
MSP,STL,1.032719176951458
MSP,YYZ,1.555886783304844
MSP,YVR,3.2913370417123966
YUL,BNA,2.1425579663533165
YUL,BOS,0.5838448144425862
YUL,LGA,0.7454521701770307
YUL,EWR,0.7604682518037802
YUL,MCO,2.8679241806875626
YUL,PHL,0.9052356082331908
YUL,PDX,5.349393818995655
YUL,SLC,4.450577643229293
YUL,SJC,5.791467473800066
YUL,SEA,5.236103315638888
YUL,MCI,2.638255706892248
YUL,STL,2.224558260659469
YUL,YYZ,0.7227985428468097
YUL,YVR,5.258885289918927
BNA,BOS,2.16119171338985
BNA,LGA,1.75189922651477
BNA,EWR,1.7132080957208047
BNA,MCO,1.418698344787345
BNA,PHL,1.5474434802398485
BNA,PDX,4.5259616399907525
BNA,SLC,3.2214151975065994
BNA,SJC,4.466210496024522
BNA,SEA,4.538068357396502
BNA,MCI,1.1285983507997266
BNA,STL,0.6237301841692937
BNA,YYZ,1.473433369127877
BNA,YVR,4.6825681353019695
BOS,LGA,0.4238799313587849
BOS,EWR,0.46099755837152817
BOS,MCO,2.5795580630376524
BOS,PHL,0.6425520356729332
BOS,PDX,5.816801694414301
BOS,SLC,4.827211364400548
BOS,SJC,6.166072606455423
BOS,SEA,5.721582997768385
BOS,MCI,2.8807465770257794
BOS,STL,2.4001637810223424
BOS,YYZ,1.0219741036873304
BOS,YVR,5.76183106264753
LGA,EWR,0.03869192898087699
LGA,MCO,2.1864014333506394
LGA,PHL,0.2188489018543322
LGA,PDX,5.6074054163282465
LGA,SLC,4.546175786409984
LGA,SJC,5.8772348089457775
LGA,SEA,5.532242614258246
LGA,MCI,2.5394766123119075
LGA,STL,2.0364298758667565
LGA,YYZ,0.8191153540416694
LGA,YVR,5.593360600680267
EWR,MCO,2.1573550153592764
EWR,PHL,0.18295794875035884
EWR,PDX,5.580051984598885
EWR,SLC,4.51382421751307
EWR,SJC,5.844167058560027
EWR,SEA,5.506439244344623
EWR,MCI,2.503623859308344
EWR,STL,1.9993912769148132
EWR,YYZ,0.7984869513938296
EWR,YVR,5.569174055125102
MCO,PHL,1.9837003613371187
MCO,PDX,5.8186020849202515
MCO,SLC,4.432862319916935
MCO,SJC,5.554990574119886
MCO,SEA,5.863780978478203
MCO,MCI,2.4657149190340273
MCO,STL,2.0269547435873263
MCO,YYZ,2.4321685123079138
MCO,YVR,6.03178957322737
PHL,PDX,5.517488594095303
PHL,SLC,4.417954392372158
PHL,SJC,5.742135422682178
PHL,SEA,5.453559757963223
PHL,MCI,2.380913596351295
PHL,STL,1.8652586377055504
PHL,YYZ,0.7972323200779726
PHL,YVR,5.525973103788165
PDX,SLC,1.4455923967030722
PDX,SJC,1.3090649549133646
PDX,SEA,0.297196023233503
PDX,MCI,3.398034306007792
PDX,STL,3.9182232402799424
PDX,YYZ,4.807951930981941
PDX,YVR,0.5762361542086828
SLC,SJC,1.3414197619171817
SLC,SEA,1.5814955339817227
SLC,MCI,2.1090239178560677
SLC,STL,2.651934567542929
SLC,YYZ,3.8077831797394897
SLC,YVR,1.831389166793412
SJC,SEA,1.602821842614811
SJC,MCI,3.3922790297499437
SJC,STL,3.934773899042475
SJC,YYZ,5.1478627484720345
SJC,YVR,1.8849725168168106
SEA,MCI,3.416595832832228
SEA,STL,3.921705288463059
SEA,YYZ,4.723705467792103
SEA,YVR,0.2920771847528711
MCI,STL,0.5439606387190806
MCI,YYZ,1.9220346944359394
MCI,YVR,3.5716026137460473
STL,YYZ,1.5023075086370523
STL,YVR,4.061481004463213
YYZ,YVR,4.778512471693568
