Origin,Destination,Travel Time (hrs)
ATL,AUS,1.8649147480276127
ATL,CLT,0.5207992669219921
ATL,ORD,1.3941857630232095
ATL,CVG,0.8602615656868368
ATL,DEN,2.751838071378572
ATL,CMH,1.0291559569518907
ATL,DFW,1.6781536387293363
ATL,DCA,1.256725875879122
ATL,IAH,1.5812765251167549
ATL,FLL,1.337771817812034
ATL,LAX,4.465491050896134
ATL,LAX,4.465491050896134
ATL,MSP,2.085724630550777
ATL,YUL,2.285091534046355
ATL,BNA,0.49220102707323926
ATL,BOS,2.173372400135496
ATL,LGA,1.7495054068305433
ATL,EWR,1.712466129747538
ATL,MCO,0.9294308020180967
ATL,PHL,1.5310790853873066
ATL,PDX,4.984297970921961
ATL,SLC,3.6476803834021707
ATL,SJC,4.853752094809648
ATL,SEA,5.007134335244131
ATL,MCI,1.590539397192909
ATL,STL,1.1115395671703778
ATL,YYZ,1.7024904754048362
ATL,YVR,5.159065127563205
AUS,CLT,2.369187180545638
AUS,ORD,2.247347711057004
AUS,CVG,2.201493187440926
AUS,DEN,1.7814481040051062
AUS,CMH,2.465691153375644
AUS,DFW,0.43677764360748517
AUS,DCA,3.018787268048994
AUS,IAH,0.3220456158642665
AUS,FLL,2.5365457981317103
AUS,LAX,2.849089522125153
AUS,LAX,2.849089522125153
AUS,MSP,2.397507002519062
AUS,YUL,3.8319010633405406
AUS,BNA,1.7377718385489065
AUS,BOS,3.8981350234123595
AUS,LGA,3.489558896677623
AUS,EWR,3.4508710431756766
AUS,MCO,2.281214830099302
AUS,PHL,3.283541405078844
AUS,PDX,3.9388078266219377
AUS,SLC,2.494107422757041
AUS,SJC,3.3875359947354986
AUS,SEA,4.067039160532006
AUS,MCI,1.4950257370955118
AUS,STL,1.6582618727439804
AUS,YYZ,3.1224220494754134
AUS,YVR,4.2991640859623805
CLT,ORD,1.3776513371031982
CLT,CVG,0.7698857854901272
CLT,DEN,3.0686751278341027
CLT,CMH,0.7984584896358198
CLT,DFW,2.147624063071946
CLT,DCA,0.7604970216885412
CLT,IAH,2.094575823429559
CLT,FLL,1.4560862385137128
CLT,LAX,4.875157099916104
CLT,LAX,4.875157099916104
CLT,MSP,2.1376217616084725
CLT,YUL,1.8451126230484816
CLT,BNA,0.7529074336988619
CLT,BOS,1.6721670888230928
CLT,LGA,1.2495861756296334
CLT,EWR,1.213878620753702
CLT,MCO,1.0785576259305938
CLT,PHL,1.0309602717215613
CLT,PDX,5.2347658676263995
CLT,SLC,3.961981456165129
CLT,SJC,5.2177580768341025
CLT,SEA,5.229168420569212
CLT,MCI,1.8556474695540786
CLT,STL,1.3194624295476556
CLT,YYZ,1.3548779572704543
CLT,YVR,5.356195869493051
ORD,CVG,0.6077689108136941
ORD,DEN,2.0373572492527243
ORD,CMH,0.678310170092304
ORD,DFW,1.8428493069985248
ORD,DCA,1.4029475473234903
ORD,IAH,2.1276327476788706
ORD,FLL,2.72146881460124
ORD,LAX,4.002753499575459
ORD,LAX,4.002753499575459
ORD,MSP,0.7676689309352124
ORD,YUL,1.7147342364889775
ORD,BNA,0.9405174330662848
ORD,BOS,1.9871548037844475
ORD,LGA,1.6817598309808428
ORD,EWR,1.6489012363779545
ORD,MCO,2.3136594387008294
ORD,PHL,1.554824244685414
ORD,PDX,3.987781879825086
ORD,SLC,2.8654472840656813
ORD,SJC,4.195512456273134
ORD,SEA,3.945361878696622
ORD,MCI,0.9237235794107471
ORD,STL,0.59339612909391
ORD,YYZ,1.0015470410258427
ORD,YVR,4.044251439761356
CVG,DEN,2.452756825903038
CVG,CMH,0.26420275041329294
CVG,DFW,1.864554174868762
CVG,DCA,0.9412623894118506
CVG,IAH,2.0027263934111548
CVG,FLL,2.147073939163921
CVG,LAX,4.359278753393543
CVG,LAX,4.359278753393543
CVG,MSP,1.3703004085993258
CVG,YUL,1.6362346874664957
